license_no,company,state,postcode,phone,license_year,osa_code
MALLP20240736,HERBAL REVIVAL SDN. BHD.,Selangor,47000,+03-6157-4818,2024,1017350
MALLP20241480,WENG LI SDN. BHD.,W.P. Kuala Lumpur,56000,03-92070888,2024,75104
MALLP20241903A,GoodScience Sdn. Bhd.,Selangor,48020,03-60343883,2024,1121397
MALLP20240296A,KCK PHARMACEUTICAL INDUSTRIES SDN. BHD.,Pulau Pinang,11900,04-6440766,2024,1019503
MALLP20241985,BODYWELL ENTERPRISE,Johor,85000,01110741835,2024,1000082
MALLP20240301,MISB RESOURCES SDN. BHD.,Kedah,05150,04-7301006,2024,3196
MALLP20241002,SYARIKAT ZULKIFLI BAMADHAJ,Johor,84200,069865421,2024,1144472
MALLP20241105,AHJ BERKAT ENTERPRISE,Melaka,77300,0136800284,2024,1140157
MALLP20241490,GAMAT ASLI ENTERPRISE,Kedah,07000,604-9666091,2024,1019613
MALLP20240014,MOH PHARMACEUTICAL TECHNOLOGIES SDN. BHD.,Selangor,40150,03-78461186,2024,1668
MALLP20240734,PHYTES BIOTEK SDN. BHD.,Selangor,40150,603-55691100,2024,4577
MALLP20241058,THE ORIGIN FOODS SDN. BHD.,Selangor,47100,03-8066 9141,2024,1395
MALLP20240309A,IDAMAN PHARMA MANUFACTURING SDN. BHD.,Perak,32610,03-33429999,2024,1019773
MALLP20240237,Shenlu Biotech Sdn Bhd,Negeri Sembilan,71800,0176782249,2024,944648
MALLP20241352,Phyto Herbal Industries Manufacturing Sdn Bhd.,Johor,81800,078616628,2024,1106572
MALLP20241976,CS PROGYMS PHARMACEUTICAL SDN. BHD.,Selangor,48000,03-60921993,2024,1650
MALLP20240115,DXN PHARMACEUTICAL SDN. BHD.,Kedah,06000,604-9161288,2024,649
MALLP20241425,HERBAL LAND MANUFACTURING SDN BHD,Perak,31450,052823823,2024,2941
MALLP20241057,SANCHUAN MEDICAL SDN.BHD,Perak,30100,05-5269630,2024,1191
MALLP20241428,MICHELLE LAZAR INTERNATIONAL SDN BHD,Johor,81100,607-3525235,2024,1133008
MALLP20241512,Esprit Care Sdn. Bhd.,Selangor,47100,03-80604228,2024,951354
MALLP20240733,UNISON NUTRACEUTICALS SDN. BHD.,Melaka,75450,606-2321399,2024,1503
MALLP20240302,DOT GREEN LIFESCIENCES SDN. BHD.,Selangor,43500,03-89207039,2024,1019815
MALLP20240173,BRAND8 NUTRACEUTICAL SDN. BHD.,Selangor,42200,0332928178,2024,1138445
MALLP20241175,NATURAL ALOE BIOTECH SDN. BHD.,Johor,81200,0167768779,2024,74940
MALLP20241922,RADIUS LABORATORY SUPPLEMENT,Kedah,09100,01151327212,2024,1271378
MALLP20240114A,N.S. LABORATORY SDN. BHD.,Negeri Sembilan,70300,06-6013035,2024,1144074
MALLP20240533,VOLTEN ASIAEMALL SDN BHD,Selangor,40000,0176771747,2024,1178523
MALLP20240952,EXCEL HERBAL INDUSTRIES SDN. BHD.,Selangor,48000,011-10243721,2024,3386
MALLP20240442,THIAN SENG TONG,Melaka,75350,0126210778,2024,1019776
MALLP20240294,Ming Yi Holding Sdn Bhd,Selangor,43300,0389437662,2024,1143089
MALLP20241420A,Xorix Sdn Bhd,Terengganu,23000,09-8423750,2024,936628
MALLP20241708,FABULLITE FOOD & SUPPLEMENT SDN. BHD.,Selangor,48020,01135176826,2024,1152913
MALLP20240244A,IKOP SDN BHD,Pahang,25200,+6095704960,2024,942826
MALLP20241055,KIN HERBS PHARMA SDN BHD,W.P. Kuala Lumpur,52200,03-62767758,2024,2328
MALLP20241540,DI ANN TRADING,Johor,85000,012-7177650,2024,73071
MALLP20240009,BESFOMEC INDUSTRIES SDN. BHD.,Melaka,78000,606-5562709 / 017-5806522,2024,1282
MALLP20240507,SARI TANI DESA SDN. BHD.,Selangor,40150,0378475855,2024,1109827
MALLP20240953,ORI BIONATURE (M) SDN BHD,Selangor,47120,0380669726,2024,1105449
MALLP20240113A,KOTRA PHARMA (M) SDN. BHD.,Melaka,75250,06-3362222,2024,715
MALLP20240918,Sun Beans Foods Industries Sdn. Bhd.,Pulau Pinang,14000,04-5888620,2024,1020223
MALLP20240917A,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,Pulau Pinang,11900,04-6434462,2024,56580
MALLP20240299,DYNAPHARM HERBAL (M) SDN. BHD.,Pulau Pinang,13600,04-3974702,2024,1631
MALLP20241169,HERBAL SCIENCE SDN. BHD.,Selangor,46000,03 - 77850689,2024,1023105
MALLP20241173,SAM TAT TRADING COMPANY,Perak,31500,012-5316982,2024,56740
MALLP20241606,TAT SEO HEALTH FACTORY PLT,Selangor,68100,03-61921888,2024,1153843
MALLP20240245A,HOVID BERHAD,Perak,31200,05-5060690,2024,1034487
MALLP20240569A,DUOPHARMA HAPI SDN. BHD.,Selangor,40150,03-55696888,2024,1140449
MALLP20240920,YI WANG HONEY GARDEN (M) SDN. BHD.,Selangor,43500,03-87232398,2024,56905
MALLP20240518,LEN FA MEDICAL SUPPLIES (M) SDN BHD,Selangor,47000,603-61573232,2024,2847
MALLP20240304,PENAWAR INDUSTRIES SDN. BHD.,Kedah,08000,04-7326019,2024,1019473
MALLP20241872,Linde EOX Sdn Bhd,Sarawak,96008,084-212093,2024,1204530
MALLP20240246,EAGLE & PAGODA BRAND TECK AUN MEDICAL FACTORY SDN.BHD.,Pulau Pinang,14100,604-5088888,2024,1019543
MALLP20240118A,AIN MEDICARE SDN. BHD.,Kelantan,16100,09-7743388,2024,1019483
MALLP20241177,TRP TECHNOLOGIES (M) SDN BHD,Selangor,47600,0380241826,2024,1135855
MALLP20241421,F.A. HERBS SDN.BHD.,Selangor,45000,0332791935,2024,2357
MALLP20241479,Kuang Chin Huang Medicines Factory Sdn Bhd,Pulau Pinang,14000,04-5072023,2024,1020119
MALLP20240130,FERNO INDUSTRIES SDN. BHD.,Selangor,47000,01161576388,2024,1019538
MALLP20241493,MILLIONS STARS TRADING,Pulau Pinang,14100,0192785600,2024,1019837
MALLP20240866,EASY PLUS PHARMACEUTICAL (M) SDN. BHD.,Kedah,05400,04-7354840,2024,9933
MALLP20240305,NUTRI-HOME PHARMACEUTICAL INDUSTRIES SDN. BHD.,Selangor,47510,03-56379896,2024,3546
MALLP20240208,SG GLOBAL BIOTECH SDN. BHD.,Selangor,41400,03-33410713,2024,1019486
MALLP20241427,LAB DOM AVMM SUISSE (ASIA) SDN.BHD.,Sabah,88460,+6088448989,2024,1108565
MALLP20241849,HIGH VALLEY CONTRACT MANUFACTURING (GMP) SDN. BHD.,Selangor,47100,(03) 5891 7287,2024,1019463
MALLP20241351A,B.BRAUN MEDICAL INDUSTRIES SDN. BHD.,Pulau Pinang,11900,04-6324213,2024,904
MALLP20240615,GN NEUTRICEUTICALS SDN. BHD.,Selangor,47620,603-80116375,2024,2040
MALLP20241171A,SM PHARMACEUTICALS SDN. BHD.,Kedah,08000,04-4411801,2024,858
MALLP20240564A,DUOPHARMA (M) SDN. BHD.,Selangor,41200,603-33231368,2024,1020100
MALLP20240238,SEUTIC PACK SDN BHD.,W.P. Kuala Lumpur,52100,0362773244,2024,56758
MALLP20241850,PROJEK WIRA BAGAN SDN. BHD.,Negeri Sembilan,71010,,2024,1017358
MALLP20240241,SERI MH UMMI SDN BHD,Kelantan,16100,09-7742490,2024,4481
MALLP20240201A,Noripharma Sdn. Bhd.,Selangor,41050,603-33926013,2024,1020114
MALLP20241108,SHARIKAT PENG GUAN PENGARAKAN SDN BHD,Sarawak,96000,084-330421,2024,1020103
MALLP20240817,SEANG WAN MANUFACTURING SDN BHD,Pulau Pinang,14100,0124280916,2024,952651
MALLP20241172,Syarikat Minyak Afiat Sdn Bhd,Perak,33000,057764677,2024,1148666
MALLP20241492,Dong Foong Manufacturing Sdn Bhd,Selangor,43000,0387415657,2024,1020253
MALLP20240011A,Life Biopharma Sdn. Bhd.,Negeri Sembilan,70200,067642168,2024,939045
MALLP20240528,FURLEY BIOEXTRACTS SDN. BHD.,Selangor,43500,0387243280,2024,943166
MALLP20240863,PROGYMS BIOPHARMA SDN BHD,Selangor,48000,0360921993,2024,1121407
MALLP20240295,POON GOOR SOE MANUFACTURE SDN. BHD.,Melaka,75350,063191668,2024,1020264
MALLP20240205,Poh Guan Hong (1985) Sdn. Bhd,Sarawak,96000,084320475,2024,1017351
MALLP20241478,Dke Inno In Biotech Sdn. Bhd.,Kedah,05150,+604-7358810,2024,1020116
MALLP20241667,NM NATURAL MEDICAL MANUFACTURING (M) SDN. BHD.,Selangor,40150,603-78474534,2024,2816
MALLP20240133,Sky Nutraceuticals Sdn. Bhd.,Pulau Pinang,14100,045015188,2024,1113903
MALLP20240862A,XEPA-SOUL PATTINSON (MALAYSIA) SDN. BHD.,Melaka,75250,06-3351515,2024,655
MALLP20240949,THE MITOMASA SDN. BHD.,Selangor,68000,0342880198/ 0342709501,2024,1112025
MALLP20240735,BIOGENE R&D SDN BHD,Selangor,47100,0380607962,2024,1019695
MALLP20240701,S.H. UNIFLEX CHINESE MEDICAL FACTORY SDN BHD,Johor,81200,07-2371988,2024,3539
MALLP20240236,CHING CHING MEDICINE MANUFACTURER,Selangor,48300,603-60213973,2024,1019647
MALLP20241890,ACE HEALTH PRODUCTS SDN. BHD.,Selangor,43500,0187734085,2024,1320433
MALLP20240243A,Shennong Animal Health (Malaysia) Sdn. Bhd.,Selangor,47610,03-80114646,2024,1125279
MALLP20241937,WCW MEDICINE FACTORY (M) SDN. BHD.,Pulau Pinang,14100,0164432336,2024,1269780
MALLP20240293,DCH CONTRACT MANUFACTURING SDN. BHD.,Selangor,40300,0355416600,2024,5415
MALLP20240440A,ZUELLIG PHARMA SDN. BHD.,Selangor,40150,03-55662288,2024,1035192
MALLP20241814,THIALLAN BIOHERBS SDN. BHD.,Selangor,47500,03-56326314,2024,1019464
MALLP20241491,DZR PHARMA MANUFACTURE SDN. BHD.,Kedah,06000,049164549,2024,1114057
MALLP20240015A,PHARMAFORTE (MALAYSIA) SDN. BHD.,Selangor,47810,03-78036998,2024,1205506
MALLP20240529,IE Lab Traditional Sdn Bhd,W.P. Kuala Lumpur,58200,0122890025,2024,69735
MALLP20240919,TST BIOCEUTICAL SDN. BHD.,Perak,30100,605-5292020,2024,1019801
MALLP20240308A,ROYCE PHARMA MANUFACTURING SDN. BHD.,Negeri Sembilan,71800,067995999,2024,1019690
MALLP20241176,EXCLUSIVE MARK (M) SDN BHD,Selangor,40150,03-55692641,2024,1019733
MALLP20241310,PEMBEKALAN UBAT HUATHAI SDN. BHD.,Johor,81200,07-2377353,2024,838
MALLP20241639A,TENANG PHARMA SDN. BHD.,Negeri Sembilan,71800,067997742,2024,1155447
MALLP20241350A,BIOCARE MANUFACTURING SDN. BHD.,Perak,32610,0379573555,2024,1110118
MALLP20240616,WAHISHAM DELIMA SDN. BHD.,Melaka,78000,06-5561354,2024,56858
MALLP20241000,TPM NEXUS SDN. BHD.,Pahang,27610,609-3692020,2024,1019855
MALLP20241418,BELIVE HEALTHCARE SDN. BHD.,Selangor,40150,01121910854,2024,1270317
MALLP20240462A,Steripack Asia Sdn Bhd,Selangor,42000,03-31673596 ext 602,2024,945078
MALLP20241541,PERCETAKAN TENAGA SDN.BHD.,W.P. Kuala Lumpur,52200,03-62765860,2024,1270464
MALLP20240303,GREEN CARE MANUFACTURE,W.P. Kuala Lumpur,56000,0391322905,2024,1127208
MALLP20240242A,DYNAPHARM (M) SDN. BHD.,Pulau Pinang,13600,04-3904092,2024,847
MALLP20241165,G&G Century (M) Sdn Bhd,W.P. Kuala Lumpur,56000,0391319570,2024,1017372
MALLP20241514,RHINO DISTRIBUTORS SDN BHD,Johor,81200,072356806,2024,1147602
MALLP20241482,21ST CENTURY PRODUCTS SDN. BHD.,Selangor,47500,03-56325041,2024,56919
MALLP20240565A,Weissen Company (m) Sdn. Bhd.,W.P. Kuala Lumpur,52100,03-6250 9260,2024,1269301
MALLP20240998A,Y.S.P. INDUSTRIES (M) SDN. BHD.,Selangor,43000,03-89251215,2024,78
MALLP20240297,B-CROBES LABORATORY SDN BHD,Perak,31400,05-5474026,2024,1019632
MALLP20240298,DELIMA R&D SDN.BHD,Selangor,47100,03-8060 7962,2024,1041349
MALLP20241422A,Thye Pharma Sdn. Bhd,Pulau Pinang,14000,04-5017666/04-5017667,2024,940044
MALLP20241642,NMY MANUFACTURING SDN BHD,Selangor,45300,0332241040,2024,1317168
MALLP20241112,WELLMETECH PHARMACEUTICAL INDUSTRIES SDN BHD,Sarawak,94300,016-8946599,2024,56871
MALLP20241111,CHUAN ANN TONG MEDICAL HALL,Johor,83000,07-4349042 / 019-7656565 / 012-7255255,2024,75274
MALLP20241426,LUEN FOOK MEDICINE SDN. BHD,Johor,81750,07-3882388,2024,1019554
MALLP20240460,ERA HERBAL PRODUCTS SDN. BHD.,Selangor,47000,603-61561101,2024,10543
MALLP20240861,U TROPIKA SDN. BHD.,Pulau Pinang,10300,0124287011,2024,1017377
MALLP20240008A,BIOCON SDN BHD,Johor,79200,6075600000,2024,953573
MALLP20240519,RIZQ TEJA RESOURCES (M) SDN. BHD.,Selangor,40150,03-78450877,2024,1203328
MALLP20240857A,Bio Molecular Industries Sdn Bhd,Negeri Sembilan,71760,03-79557889,2024,1017357
MALLP20240384A,IDAMAN PHARMA MANUFACTURING SDN BHD,Kedah,08000,04-4213011,2024,1019774
MALLP20240175,HONG YANG HOO PHARMA SDN BHD,Pulau Pinang,11960,04-2619267,2024,1117532
MALLP20241174,C.K.C Biopharma Sdn Bhd,Pulau Pinang,11900,04-6425577,2024,56341
MALLP20241566,Pollux Gentech Sdn. Bhd.,Selangor,47600,03-80111256,2024,1020108
MALLP20240813A,NOVUGEN PHARMA SDN. BHD.,Negeri Sembilan,71760,60355618220,2024,1155383
MALLP20240999A,Nam Pharma Sdn. Bhd.,Perak,31200,"+605-2931838, 2931839",2024,1020107
MALLP20240915,SHANGHAI CHATLIN PHARMACEUTICAL COMPANY,Selangor,43500,03-87256077,2024,5584
MALLP20240620A,TERAPUTICS SDN BHD,Pulau Pinang,14100,04-5880519,2024,3183
MALLP20240234,HO POH ONN MEDICAL HALL (M) SDN. BHD.,Johor,81800,012-7900715,2024,1019642
MALLP20241871,Linde EOX Sdn Bhd,Sarawak,98008,085-653 507,2024,1204528
MALLP20240291,NUSANTARA MAJU ENTERPRISE,Kedah,07000,04-9559233,2024,1019617
MALLP20241060,RAYSON LABORATORIES SDN BHD,Selangor,48000,0362720553,2024,1120123
MALLP20241560,DARULAMAN MANUFACTURING SDN. BHD.,Kedah,06000,04-9161767,2024,1034504
MALLP20240012,GANO EXCEL INDUSTRIES SDN BHD,Kedah,06000,04-9172888,2024,1017353
MALLP20240506,TIN FATT THONG MEDICAL MANUFACTURING SDN BHD,Selangor,48000,60193157723,2024,1019722
MALLP20240855,TJ-TYT PHARMACEUTICALS (M) SDN. BHD.,Perak,31500,05-3228766,2024,2825
MALLP20240443A,DKSH MALAYSIA SDN. BHD.,Selangor,40400,60169774734,2024,945700
MALLP20240174,HERBAL SCIENCE SDN. BHD.,Selangor,47300,03 - 77850689,2024,1192466
MALLP20241307,ALPHA ACTIVE INDUSTRIES SDN BHD,Selangor,47100,0380667763,2024,1000081
MALLP20241629,HIGH VALLEY CONTRACT MANUFACTURING (GMP) SDN. BHD.,Selangor,47100,(03) 5891 7287,2024,56497
MALLP20240534,J.B. PHARMACY GROUP SDN. BHD.,Kedah,05400,04-7713086,2024,1872
MALLP20240617,MULTI HERBS PHARMACEUTICAL (M) SDN BHD,W.P. Kuala Lumpur,52100,62510780,2024,2394
MALLP20240947,OMEGA HEALTH PRODUCTS SDN BHD,Selangor,43500,0143694822,2024,1147607
MALLP20241481,MAESTRO BIOTECH SDN BHD,Johor,84800,0126106218,2024,1020266
MALLP20240239,GANOFARM R&D SDN BHD,Selangor,42800,0132878900,2024,1159065
MALLP20241802A,Kuehne + Nagel Sdn Bhd,Selangor,40150,0378411280,2024,1105398
MALLP20240854A,PHARMANIAGA MANUFACTURING BERHAD,Selangor,43650,03-89257880,2024,491
MALLP20240112,SYARIKAT WEN KEN DRUG SDN. BHD.,Johor,81200,072371115,2024,1105124
MALLP20241109,SENDAYU TINGGI MANUFACTURING (M) SDN BHD,Selangor,42920,0331012133,2024,50414
MALLP20241476,Tropika TMed Sdn. Bhd.,Selangor,68100,0361280040,2024,1138106
MALLP20241113,LONNIX (M) SDN. BHD.,Melaka,75250,06-3363377,2024,2467
MALLP20241542,VGO HOLDING SDN. BHD.,Pulau Pinang,14000,0124544888,2024,1136008
MALLP20240950,MAJOR INTEREST SDN BHD,Kedah,08000,04-4420905,2024,936760
MALLP20241164,EDMARK INDUSTRIES SDN BHD,Selangor,47180,03 - 80752233,2024,943164
MALLP20240859,Bioalpha International Sdn. Bhd.,Selangor,43650,03-8925 1222,2024,1020112
MALLP20240508,Wells Products Industry Sdn Bhd,Selangor,41200,0122387406,2024,949553
MALLP20240251,KEDAI UBAT JOO FATT HO CHEE MENG,Johor,81300,0127111683,2024,1020221
MALLP20241309,BIO NICE INDUSTRY SDN BHD,Johor,79200,07-5115610,2024,1023439
MALLP20241668,Happy Health (m) Sdn Bhd,Johor,83010,074153505 0162325877,2024,1158699
MALLP20240132,THP MEDICAL SDN. BHD.,Pulau Pinang,14100,045023396,2024,1130996
MALLP20240619,NATURE'S GRACE (M) SDN. BHD.,Melaka,75350,06-2812222,2024,46839
MALLP20240948,WTH PHARMACEUTICAL SDN BHD,Pulau Pinang,11960,042620939,2024,1023217
MALLP20240444,Syarikat Minyak Afiat Sdn Bhd,Perak,33000,05-7764677,2024,1438
MALLP20240700A,RANGE PHARMA SDN. BHD.,Selangor,47000,03-6156 8708,2024,935053
MALLP20241423,FAIR-FAIRLY ENTERPRISE,Negeri Sembilan,71010,0167231126,2024,1019765
MALLP20241904,CAPSULE PACK (M) SDN BHD,Pulau Pinang,10300,012-4772811,2024,940283
MALLP20240249,APB STANDARD SDN. BHD.,Selangor,43000,03-87032020,2024,1019907
MALLP20240566,ELPAR HERBS SDN. BHD.,Kedah,08000,0126170200,2024,586
MALLP20240532A,AV MANUFACTURING SDN.BHD,Negeri Sembilan,71800,06-7941071,2024,1019803
MALLP20241107A,STERLING DRUG (MALAYA) SDN. BHD.,Selangor,68000,019 387 5857,2024,1019510
MALLP20241511,SYAMELATI INDUSTRIES SDN. BHD.,Kelantan,16100,097718674,2024,932355
MALLP20240865,NOVA LABORATORIES SDN. BHD.,Selangor,43950,012-6275423,2024,1019466
MALLP20240530,Rising Sun Enrich Sdn Bhd,Selangor,43300,0395479927,2024,1110272
MALLP20241061,BIOFACT LIFE SDN. BHD.,Johor,84150,06-9872588,2024,7690
MALLP20240385A,PHARMANIAGA LIFESCIENCE SDN. BHD.,Selangor,47100,03-80612006,2024,5506
MALLP20241166A,Osmosis Nutrition Sdn Bhd,Negeri Sembilan,71800,06-7999090,2024,942828
MALLP20241763A,Solution Biologics Sdn. Bhd.,W.P. Kuala Lumpur,57000,0327803890,2024,1192274
MALLP20241977,RUZA RESOURCES MANUFACTURING SDN BHD,Kedah,09000,044919986 / 044909986,2024,1104842
MALLP20240134,Zhulian Nutraceutical Sdn. Bhd.,Pulau Pinang,11900,04-6162828,2024,1020111
MALLP20240618A,Pelangi Vet Pharma Sdn. Bhd.,Pulau Pinang,14100,04-5880519,2024,1037188
MALLP20241737,NATURE`S HEALTH PRODUCTS (M) SDN. BHD.,Selangor,42920,03-3324 6733 / 016-2296733,2024,49858
MALLP20241419,WEN JIANG MEDICAL INDUSTRIES SDN. BHD.,Perak,30100,055268811,2024,74955
MALLP20240445,ORIENT LABORATORIES SDN. BHD.,Selangor,68100,03-61388306,2024,403
MALLP20240737,NATUREBIO LABORATORIES SDN.BHD,Selangor,48000,0380765688,2024,1017378
MALLP20241930A,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,Selangor,43650,03-89242188,2024,518
MALLP20241559,SHIN LI TRADING,Johor,85000,07-9321603,2024,3445
MALLP20241984,WONG YIU NAM MEDICINE FACTORY (M) SDN BHD,Perak,34600,05-8912004,2024,2726
MALLP20240307,VITATON (M) SDN BHD,Negeri Sembilan,71750,06-7583811,2024,1019703
MALLP20241167,HERBAL SCIENCE SDN. BHD.,Selangor,46000,03 - 77850689,2024,1274
MALLP20241178,CAMBRIDGE BIOTEK SDN BHD,Selangor,47000,0192193339,2024,937451
MALLP20241489,FIATEC BIOSYSTEM SDN. BHD.,Selangor,47160,0380619232,2024,1144414
MALLP20241475,UMZ BIOLINE MANUFACTURER SDN BHD,Johor,81800,07-8612464,2024,1136056
MALLP20240527,Halagel Plant (M) Sdn. Bhd.,Kedah,08000,04-4481288,2024,1020110
MALLP20240921A,Rhone Ma Malaysia Sdn Bhd,Selangor,46100,03-78737355,2024,1020104
MALLP20240814,INTAN BIOTECH INDUSTRIES SDN BHD,Kelantan,16100,0129704010,2024,1161419
MALLP20240235,Q-PACK (M) SDN. BHD.,Selangor,40150,03-55692641,2024,1020131
MALLP20241308,WAN YEEN TRADING SDN. BHD.,Perak,31400,05-5463939,2024,1019599
MALLP20241825,JARDIN MANUFACTURING SDN. BHD.,Terengganu,23000,09-8423750,2024,1316907
MALLP20240816,TIGER BALM (M) SDN. BHD.,Johor,81100,607-2891166,2024,1023082
MALLP20241001,RPM HERBS INDUSTRIES,Kelantan,18500,0139336700,2024,7921
MALLP20241430,Linde Gas Products Malaysia Sdn Bhd,Selangor,42700,0351912959,2024,1203931
MALLP20241059A,NOVUGEN ONCOLOGY SDN. BHD.,Negeri Sembilan,71760,0138128862,2024,1187779
MALLP20240856,DIAMOND MEDICAL COMPANY,Pulau Pinang,14100,04-5871871,2024,1019677
MALLP20240955A,SUNWARD PHARMACEUTICAL SDN. BHD.,Johor,81200,07-2367531,2024,610
MALLP20241607,Phytobiotech Sdn. Bhd.,Negeri Sembilan,71800,06-7992778,2024,936629
MALLP20240202A,Fresenius Medical Care Production Sdn Bhd,Negeri Sembilan,71760,"0165095263, 06-7915333",2024,999773
MALLP20241424,UBATAN KETIGA INDUSTRI SDN. BHD.,Perak,34600,605-891 2005 / 891 2004,2024,1019686
MALLP20241565,BIOPROUT (M) SDN. BHD.,Johor,81100,0127080251,2024,1000076
MALLP20240116A,HOVID BERHAD,Perak,30010,05-5060690,2024,792
MALLP20240567,TAI FUD ENTERPRISE,Pulau Pinang,14000,019-4474386,2024,1019807
MALLP20240916,QD HERBS SDN. BHD.,Perak,31500,05-3220733,2024,75242
MALLP20240387,WENG SENG HENG MEDICAL FACTORY SDN. BHD.,Pulau Pinang,11900,04-6110621,2024,1142413
MALLP20241487A,Dexchem Industries Sdn Bhd,Pulau Pinang,14000,04-5518000,2024,1109537
MALLP20241349,F.E. VENTURE MARKETING SDN. BHD.,Selangor,43200,03-90745280,2024,937455
MALLP20241950,Linde Malaysia Sdn. Bhd.,Pulau Pinang,13600,0351912959,2024,1204526
MALLP20240117,PRO STISOL MANUFACTURING,Johor,86000,077877044,2024,944470
MALLP20241056,PB NATUR SDN. BHD.,W.P. Kuala Lumpur,52200,03-62744846,2024,1019729
MALLP20241568A,Beacon Hospital Sdn. Bhd.,Selangor,46050,03-77872829,2024,1017361
MALLP20241270,WHITE HERON PHARMACEUTICAL SDN. BHD.,W.P. Kuala Lumpur,52200,03-62802162,2024,992
MALLP20240505,YOKNESS SDN. BHD.,Johor,81800,078615727,2024,1157843
MALLP20240007,CHE MAH & SONS SDN. BHD.,Kelantan,17000,09-7943696,2024,56348
MALLP20241837,NATURECEUTICALS SDN BHD,Kedah,08000,0444004589,2024,944030
MALLP20240858,MAH TAI CHINESE MEDICINE REFINERY,Perak,30100,05-5262169,2024,1981
MALLP20240388,VAIL-BON MEDICAL FACTORY SDN. BHD.,Pulau Pinang,14100,04-2612100,2024,1019663
MALLP20241168,HERBAL SCIENCE SDN. BHD.,Selangor,46000,03 - 77850689,2024,1020270
MALLP20241230,LJACK (M) SDN BHD,Selangor,43500,03-87246064,2024,1270525
MALLP20241640,SOFTGEL MANUFACTURING SDN. BHD.,Johor,81700,6072892928,2024,1205811
MALLP20240063,LIONG YEH HIN MEDICAL HALL SDN BHD,Sarawak,96000,"084-332206, 084-346840",2024,2769
MALLP20240568,FHUTA PHARMACEUTICAL SDN.BHD,Pulau Pinang,14000,045054444,2024,1106276
MALLP20240946,MH SAUJANA ENTERPRISE,Kedah,07000,012-4694913,2024,1020128
